step,vehicle_id,speed,acceleration,distance_traveled
0,car1,0.0,0.0,0.0
1,car1,2.3400352335069328,2.3400352335069328,2.340035233506933
2,car1,3.7815233460394664,1.4414881125325336,6.1215585795464005
3,car1,6.233127367729321,2.451604021689855,12.354685947275721
4,car1,8.093998390925117,1.860871023195796,20.448684338200835
5,car1,10.396026696660556,2.3020283057354387,30.84471103486139
6,car1,12.494405424641444,2.0983787279808883,43.33911645950283
7,car1,13.559737152775378,1.065331728133934,56.89885361227821
8,car1,13.887751958967748,0.32801480619236933,70.78660557124596
9,car1,13.598449433228561,-0.2893025257391866,84.38505500447452
10,car1,13.609233937302234,0.010784504073672707,97.99428894177676
10,car2,0.0,0.0,0.0
11,car1,13.678180645435678,0.06894670813344383,111.67246958721243
11,car2,2.404286391846836,2.404286391846836,2.404286391846836
12,car1,14.278573021066004,0.6003923756303262,125.95104260827844
12,car2,4.43642328856513,2.032136896718294,6.840709680411965
13,car1,13.897942199005374,-0.38063082206062937,139.8489848072838
13,car2,6.991982071520762,2.5555587829556323,13.832691751932726
14,car1,13.730114933691548,-0.16782726531382686,153.57909974097535
14,car2,8.756162439775656,1.7641803682548938,22.58885419170838
15,car1,14.24642228556946,0.5163073518779129,167.8255220265448
15,car2,10.369223318668084,1.613060878892428,32.95807751037646
16,car1,14.080900759884717,-0.16552152568474376,181.90642278642952
16,car2,11.702035444113427,1.3328121254453436,44.66011295448989
17,car1,13.554630234145188,-0.5262705257395286,195.4610530205747
17,car2,12.02503925915648,0.3230038150430534,56.68515221364637
18,car1,14.167004127853179,0.612373893707991,209.62805714842787
18,car2,12.410862981805847,0.3858237226493664,69.09601519545222
19,car1,14.23907516445648,0.07207103660330105,223.86713231288437
19,car2,12.43044009026912,0.019577108463272097,81.52645528572134
20,car1,10.016443893419023,-4.222631271037457,233.8835762063034
20,car2,12.638917664460175,0.20847757419105584,94.16537295018152
20,car3,0.0,0.0,0.0
21,car1,6.619074110792394,-3.3973697826266287,240.50265031709577
21,car2,11.828718507637538,-0.8101991568226374,105.99409145781905
21,car3,2.000670751277357,2.000670751277357,2.000670751277357
22,car1,3.3246769926402853,-3.294397118152109,243.82732730973606
22,car2,12.86632470215977,1.0376061945222332,118.86041615997883
22,car3,3.8493072199868044,1.8486364687094472,5.8499779712641615
23,car1,4.965649493283978,1.6409725006436928,248.79297680302005
23,car2,12.85838343596392,-0.007941266195850005,131.71879959594276
23,car3,5.312169854645618,1.4628626346588138,11.162147825909779
24,car1,6.9952738767614715,2.0296243834774934,255.78825067978153
24,car2,11.764030473631143,-1.0943529623327777,143.4828300695739
24,car3,6.861983975255863,1.549814120610245,18.024131801165645
25,car1,8.949699630763767,1.9544257540022958,264.7379503105453
25,car2,11.9963513619949,0.2323208883637573,155.4791814315688
25,car3,8.771736691542904,1.9097527162870405,26.795868492708543
26,car1,11.50860199922548,2.5589023684617125,276.2465523097708
26,car2,11.861596776194208,-0.13475458580069244,167.340778207763
26,car3,10.656742389430294,1.8850056978873901,37.452610882138835
27,car1,13.23589183857051,1.7272898393450298,289.4824441483413
27,car2,11.84740354355731,-0.014193232636898756,179.18818175132031
27,car3,12.778532389714384,2.12179000028409,50.23114327185322
28,car1,13.546340112790094,0.3104482742195849,303.02878426113136
28,car2,11.832971314618632,-0.014432228938677127,191.02115306593893
28,car3,13.820497809571908,1.0419654198575241,64.05164108142513
29,car1,13.803469718719462,0.25712960592936795,316.83225397985086
29,car2,12.971461859506823,1.1384905448881906,203.99261492544576
29,car3,13.905610792467133,0.08511298289522529,77.95725187389226
30,car1,13.78374077696968,-0.01972894174978279,330.6159947568205
30,car2,12.639633914221347,-0.3318279452854753,216.6322488396671
30,car3,13.17397464684932,-0.7316361456178129,91.13122652074158
31,car1,13.512579165964016,-0.27116161100566316,344.12857392278454
31,car2,12.068884824377752,-0.570749089843595,228.70113366404487
31,car3,13.882714873145096,0.7087402262957756,105.01394139388667
32,car1,13.873172635498086,0.36059346953407,358.0017465582826
32,car2,9.266822382746158,-2.8020624416315947,237.96795604679104
32,car3,13.588107352063753,-0.2946075210813426,118.60204874595043
33,car1,14.241911296319778,0.36873866082169116,372.24365785460236
33,car2,4.766822382746158,-4.5,242.73477842953722
33,car3,13.75440532719972,0.16629797513596678,132.35645407315016
34,car1,13.496507908456588,-0.74540338786319,385.74016576305894
34,car2,1.1392805616442854,-3.6275418211018726,243.8740589911815
34,car3,13.24009890515613,-0.5143064220435907,145.59655297830628
35,car1,14.142156357929672,0.6456484494730841,399.88232212098865
35,car2,0.016115948202908285,-1.123164613441377,243.8901749393844
35,car3,13.05649737451481,-0.1836015306413188,158.65305035282108
36,car1,13.877845131076501,-0.2643112268531702,413.7601672520651
36,car2,0.006119389358660912,-0.009996558844247373,243.89629432874307
36,car3,12.873080431961217,-0.18341694255359364,171.5261307847823
37,car1,13.559117075900176,-0.31872805517632585,427.3192843279653
37,car2,0.001986286144106921,-0.004133103214553991,243.89828061488717
37,car3,13.36823326818435,0.49515283622313255,184.89436405296667
38,car1,13.881267663959044,0.322150588058868,441.2005519919244
38,car2,0.0007101410692837886,-0.0012761450748231325,243.89899075595645
38,car3,13.587345132802374,0.219111864618025,198.48170918576903
39,car1,13.71880619722102,-0.16246146673802286,454.9193581891454
39,car2,0.0,-0.0007101410692837886,243.89899075595645
39,car3,13.01160333784087,-0.5757417949615036,211.49331252360992
40,car1,13.544397976092624,-0.17440822112839705,468.463756165238
40,car2,0.0,0.0,243.89899075595645
40,car3,12.037186930804468,-0.9744164070364025,223.53049945441438
41,car1,14.684448751999625,1.1400507759070013,483.14820491723765
41,car2,0.0,0.0,243.89899075595645
41,car3,7.537186930804468,-4.5,231.06768638521885
42,car1,13.831445884827154,-0.8530028671724708,496.97965080206484
42,car2,0.0,0.0,243.89899075595645
42,car3,4.283780338899679,-3.253406591904789,235.35146672411852
43,car1,13.5572497789111,-0.2741961059160545,510.53690058097595
43,car2,0.0,0.0,243.89899075595645
43,car3,0.49383038730238626,-3.789949951597293,235.8452971114209
44,car1,14.722893945040742,1.165644166129642,525.2597945260167
44,car2,0.0,0.0,243.89899075595645
44,car3,0.03884004137225378,-0.4549903459301325,235.88413715279316
45,car1,14.296434144914711,-0.4264598001260307,539.5562286709314
45,car2,0.0,0.0,243.89899075595645
45,car3,0.012596404139836247,-0.026243637232417537,235.896733556933
46,car1,14.549511001917162,0.2530768570024513,554.1057396728486
46,car2,0.0,0.0,243.89899075595645
46,car3,0.0009187539225778913,-0.011677650217258355,235.89765231085556
47,car1,14.159258018114233,-0.39025298380292917,568.2649976909628
47,car2,0.0,0.0,243.89899075595645
47,car3,0.00021530894273832213,-0.0007034449798395692,235.8978676197983
48,car1,14.544182812219114,0.38492479410488123,582.8091805031819
48,car2,0.0,0.0,243.89899075595645
48,car3,0.0,-0.00021530894273832213,235.8978676197983
49,car1,13.597827783326247,-0.9463550288928673,596.4070082865081
49,car2,0.0,0.0,243.89899075595645
49,car3,0.0,0.0,235.8978676197983
50,car1,13.479216016113387,-0.11861176721285993,609.8862243026215
50,car2,2.353288845322095,2.353288845322095,246.25227960127853
50,car3,0.0,0.0,235.8978676197983
51,car1,14.102897114429252,0.6236810983158652,623.9891214170508
51,car2,4.924654975300656,2.5713661299785606,251.17693457657919
51,car3,1.5621901154412967,1.5621901154412967,237.4600577352396
52,car1,13.473485271918216,-0.6294118425110362,637.462606688969
52,car2,7.046357367327438,2.1217023920267826,258.22329194390664
52,car3,4.021636464250002,2.4594463488087053,241.4816941994896
53,car1,14.552492030553148,1.0790067586349323,652.0150987195221
53,car2,9.163434871379287,2.1170775040518492,267.3867268152859
53,car3,6.425710923912663,2.4040744596626613,247.90740512340227
54,car1,14.08519795728531,-0.4672940732678388,666.1002966768075
54,car2,11.390035632392392,2.2266007610131044,278.77676244767827
54,car3,8.518621633494002,2.0929107095813384,256.42602675689625
55,car1,14.072862103727275,-0.012335853558035126,680.1731587805348
55,car2,12.113082800943673,0.7230471685512807,290.88984524862195
55,car3,10.016733028938722,1.4981113954447203,266.442759785835
